users_id,username,password,users_role
1beda04a-3763-410a-8050-7e656ac507b8,user_1,pass_1,buyer
e69fff23-ed52-49de-8f8b-cc73c3e96fc1,user_2,pass_2,buyer
30e64b63-f295-4cf8-a0b0-7725691b4605,user_3,pass_3,buyer
3608eb41-076f-479c-b942-016c4eaec19a,user_4,pass_4,buyer
fcde64f5-f0fe-41dd-a705-fec109020e04,user_5,pass_5,buyer
99ae30d6-0bcb-4ade-9ad8-f7d6b863d555,user_6,pass_6,buyer
f904b384-c4aa-4f9a-925d-ebc4aa38923c,user_7,pass_7,buyer
85d258db-015f-465d-99e6-cd832f57b171,user_8,pass_8,buyer
5f3abce2-0081-47e9-8b74-734bbcda7287,user_9,pass_9,buyer
17da9ad4-a92d-4b3f-b3de-5d4405015abf,user_10,pass_10,buyer
45077d1b-c6de-4f30-81a0-8f3e22e38db5,user_11,pass_11,buyer
49eace92-44e8-4ac9-86a8-8fbcda6b3e45,user_12,pass_12,buyer
2e1773d7-ae8c-438b-a272-282eb10935df,user_13,pass_13,buyer
40c938df-fcba-4ac0-8880-362858dd739d,user_14,pass_14,buyer
d4ccfd3a-c4ed-4add-a580-d8e9e28796f5,user_15,pass_15,buyer
8456ee35-8306-4e00-b984-227355cce362,user_16,pass_16,buyer
41ed3b02-5369-462d-af2f-6cb1ccb91b95,user_17,pass_17,buyer
42d07bdb-d179-4839-b4b5-5509845e128c,user_18,pass_18,buyer
2b87a382-d473-4377-8c01-090ae9189db9,user_19,pass_19,buyer
d1b53a40-7fcc-4f01-9c85-116c2246cace,user_20,pass_20,buyer
e7ed6fb8-646a-45a5-94ec-f79aa4e49289,user_21,pass_21,buyer
f9fb4f83-c8e1-419c-9ba2-fa4951d3d44c,user_22,pass_22,buyer
f416c6b6-4aba-4f6e-8fdd-31a9f83cd5ac,user_23,pass_23,buyer
d113e3ff-e84f-409c-b77d-6fecb3aa4a85,user_24,pass_24,buyer
62dfba36-bd33-44d8-a87d-b8d2be791e50,user_25,pass_25,buyer
a12a47a6-8ea3-46de-8099-f8c2974f0b63,user_26,pass_26,buyer
ac594404-67ce-46db-87c4-11ac58f77daa,user_27,pass_27,buyer
6f5f819a-9f68-4ece-acc9-031bcddabdd4,user_28,pass_28,buyer
2c1db38c-a8fa-4fc9-8c55-c8ba0306ac50,user_29,pass_29,buyer
68aa1634-03c9-48c7-8355-43c8caea00fc,user_30,pass_30,buyer
0f56404b-6706-4f05-9bfc-9bfc0f690cb8,user_31,pass_31,buyer
cedf15cc-d2ce-440f-83bf-a75268a951cf,user_32,pass_32,buyer
276e13af-d43f-4a4d-b868-063aa72fb3d5,user_33,pass_33,buyer
9b6f8734-309d-4e28-a80d-848fc61e0a50,user_34,pass_34,buyer
31c5666a-149a-470b-8da3-4fbfe8b5092e,user_35,pass_35,buyer
d132aae7-ac6f-4fb7-a20c-9b7e1520a09f,user_36,pass_36,buyer
45e73d36-8db2-4230-82c0-099410874dd7,user_37,pass_37,buyer
1614042e-baaa-4430-81d4-4d2138f7fc8e,user_38,pass_38,buyer
e5a354ff-f9cd-4d53-9bcc-932f19041158,user_39,pass_39,buyer
7ceea71b-be8e-42bb-9d17-ac1f10628130,user_40,pass_40,buyer
ef73901b-73ed-407b-b1a6-2c2ffded9615,user_41,pass_41,buyer
5347ef3e-aec5-4884-9586-ab884273dbe5,user_42,pass_42,buyer
aa759077-d526-4077-9f84-5101443dee95,user_43,pass_43,buyer
55bf16e4-3c72-4bdc-b9a7-686449a8e929,user_44,pass_44,buyer
